cod_ibge;msau39;msau3911;msau3912;msau3913;msau3914;msau3915;msau3916;msau3917;msau3918;mppm01;mppm11;mppm13;mppm20;mppm23
1100064;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
1100072;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não
1100080;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não
1100098;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Não
1100106;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Sim
1100114;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Sim
1100122;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Não;Sim
1100130;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não
1100148;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Não
1100155;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não
1100189;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Não;Não
1100205;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim
1100254;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Não
1100262;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não
1100288;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim
1100296;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não
1100304;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Sim;Sim
1100320;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não
1100338;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
1100346;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não
1100379;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não
1100403;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não
1100452;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim
1100502;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não
1100700;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não
1100809;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não
1100908;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não
1100924;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
1100940;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não
1101005;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não
1101104;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não
1101203;Sim;Sim;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não
1101302;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
1101401;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Não;Não
1101435;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não
1101450;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não
1101476;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não
1101484;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não
1101492;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não
1101500;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não
1101559;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não
1101609;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não
1101708;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não
1101757;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não
1200013;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não
1200054;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Não
1200104;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não
1200138;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não
1200179;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não
1200203;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim
1200252;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Não;Não;Sim
1200302;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim
1200328;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não
1200336;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não
1200344;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não
1200351;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Não
1200385;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não
1200393;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Sim;Não;Não
1200401;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim
1200427;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Sim;Não;Não
1200435;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não
1200450;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim
1200500;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não
1200609;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não
